100 1e-06
600 3e-06
1100 3e-06
1600 5e-06
2100 6e-06
2600 7e-06
3100 8e-06
3600 9e-06
4100 1e-05
4600 1.1e-05
5100 1.3e-05
5600 1.4e-05
6100 1.6e-05
6600 1.7e-05
7100 1.9e-05
7600 2e-05
8100 2e-05
8600 2.2e-05
9100 2.3e-05
9600 2.7e-05
10100 2.6e-05
10600 2.8e-05
11100 3e-05
11600 3e-05
12100 3.5e-05
12600 3.2e-05
13100 3.3e-05
13600 3.4e-05
14100 3.6e-05
14600 3.7e-05
15100 3.7e-05
15600 4.1e-05
16100 6e-05
16600 4.3e-05
17100 5.2e-05
17600 4.5e-05
18100 4.5e-05
18600 4.7e-05
19100 6.8e-05
19600 4.9e-05
20100 5e-05
20600 5.1e-05
21100 5.6e-05
21600 5.5e-05
22100 8.3e-05
22600 5.7e-05
23100 5.7e-05
23600 6.3e-05
24100 6e-05
24600 6.2e-05
25100 6.4e-05
25600 6.6e-05
26100 6.7e-05
26600 0.000107
27100 0.000106
27600 7.1e-05
28100 7.3e-05
28600 7.4e-05
29100 7.4e-05
29600 7.5e-05
