100 2.06571e-07
200 2.09974e-07
300 2.24427e-07
400 2.20853e-07
500 2.21937e-07
600 2.37208e-07
700 2.30657e-07
800 2.24947e-07
900 2.27464e-07
1000 2.2776e-07
1100 2.3465e-07
1200 2.3533e-07
1300 2.32674e-07
1400 2.33807e-07
1500 2.33607e-07
1600 2.33497e-07
1700 2.33151e-07
1800 2.33228e-07
1900 2.34258e-07
2000 2.38253e-07
2100 2.40355e-07
2200 2.40186e-07
2300 2.37477e-07
2400 2.42803e-07
2500 2.42535e-07
2600 2.40786e-07
2700 2.41713e-07
2800 2.34231e-07
2900 2.42486e-07
3000 2.39536e-07
3100 2.4162e-07
3200 2.40406e-07
3300 2.42588e-07
3400 2.40687e-07
3500 2.37436e-07
3600 2.36117e-07
3700 2.4073e-07
3800 2.43338e-07
3900 2.4281e-07
4000 2.44196e-07
4100 2.51306e-07
4200 2.5014e-07
4300 2.50538e-07
4400 2.49246e-07
4500 2.47905e-07
4600 2.47882e-07
4700 2.51047e-07
4800 2.4719e-07
4900 2.53738e-07
5000 2.47491e-07
5100 2.45901e-07
5200 2.46226e-07
5300 2.49064e-07
5400 2.47127e-07
5500 2.46821e-07
5600 2.49001e-07
5700 2.47415e-07
5800 2.49961e-07
5900 2.51346e-07
6000 2.53283e-07
6100 2.48221e-07
6200 2.49295e-07
6300 2.47715e-07
6400 2.52538e-07
6500 2.4992e-07
6600 2.48512e-07
6700 2.48854e-07
6800 2.48485e-07
6900 2.53486e-07
7000 2.66044e-07
7100 2.46554e-07
7200 2.51052e-07
7300 2.45358e-07
7400 2.42786e-07
7500 2.36397e-07
7600 2.35272e-07
7700 2.38461e-07
7800 2.33658e-07
7900 2.34443e-07
8000 2.3616e-07
8100 2.34638e-07
8200 2.46042e-07
8300 2.48977e-07
8400 2.40885e-07
8500 2.35068e-07
8600 2.36674e-07
8700 2.55495e-07
8800 2.47982e-07
8900 2.59242e-07
9000 2.74978e-07
9100 2.49916e-07
9200 3.02619e-07
9300 2.5e-07
9400 2.69214e-07
9500 2.48755e-07
9600 2.54739e-07
9700 2.41376e-07
9800 2.63611e-07
9900 2.5473e-07
